id,category,query_to_old_similarity,cross_memory_similarity,time_delta_days,recency_score,update_frequency,query_word_count,old_word_count,new_word_count,word_count_delta,negation_in_new,negation_in_old,negation_delta,temporal_in_new,temporal_in_old,correction_markers,memory_confidence,trust_score,drift_score,slot,old_value,new_value
synthetic_refinement_003,REFINEMENT,0.5797386715376658,0.5797386715376658,13,0.9650103634675903,2,5,3,5,2,0,0,0,0,0,0,0.8561810178271044,0.973592859833289,0.15979909127171077,hobby,I like coffee,I like coffee and tea
synthetic_conflict_047,CONFLICT,0.4112070550676187,0.4112070550676187,60,0.8484165394203861,1,5,4,5,1,1,0,1,1,1,0,0.6197316968394073,0.5812037280884873,0.7389986300840506,preference,I prefer pair programming,I don't like pair programming
synthetic_conflict_037,CONFLICT,0.22028815056182974,0.22028815056182968,23,0.9389306115378647,2,4,3,4,1,1,0,1,0,0,0,0.5116167224336399,0.7232352291549871,0.8502787529358021,skill,I use Kubernetes,I've never used Kubernetes
synthetic_refinement_041,REFINEMENT,0.5797386715376658,0.5797386715376658,6,0.9836960163172332,3,5,3,5,2,0,0,0,0,0,0,0.9062108866694067,0.8526759842584543,0.19548647782429918,preference,I like Python,I like Python and JavaScript
synthetic_revision_016,REVISION,0.5031026124151314,0.5031026124151314,76,0.8120290382386844,1,4,4,4,0,0,0,0,0,0,0,0.8248663961200633,0.7818508666017414,0.4545474901621302,employer,I work at Uber,I work at Lyft
synthetic_conflict_073,CONFLICT,0.4112070550676187,0.4112070550676187,33,0.9135556742779756,1,5,4,5,1,1,0,1,0,0,0,0.5366809019706867,0.6108484485919076,0.8311891079080594,preference,I prefer working remotely,I don't like working remotely
synthetic_revision_022,REVISION,0.5031026124151314,0.5031026124151314,125,0.7100174346347615,1,4,4,4,0,0,0,0,0,0,0,0.7647917527963173,0.7936843710297063,0.5835558684167138,employer,I work at Uber,I work at Lyft
synthetic_temporal_066,TEMPORAL,0.5031026124151314,0.5031026124151314,345,0.38859971344131383,1,4,4,4,0,0,0,0,0,0,0,0.7709240790978062,0.8438216972802828,0.37327236865873836,age,I'm 25 years old,I'm 26 years old
synthetic_temporal_050,TEMPORAL,0.5031026124151314,0.5031026124151314,390,0.3435257691806008,1,4,4,4,0,0,0,0,0,0,0,0.8184104976325554,0.9177763942089521,0.3399347564316719,age,I'm 25 years old,I'm 26 years old
synthetic_conflict_007,CONFLICT,0.4112070550676187,0.4112070550676187,18,0.9518811746804333,2,5,4,5,1,1,0,1,0,0,0,0.6028468876827223,0.6684829137724085,0.7116126031799994,preference,I prefer morning meetings,I don't like morning meetings
synthetic_conflict_029,CONFLICT,0.22028815056182974,0.22028815056182968,48,0.876773269820862,1,4,3,4,1,1,0,1,0,0,0,0.6215089703802876,0.5841048247374584,0.7162628982463198,skill,I use TypeScript,I've never used TypeScript
synthetic_temporal_006,TEMPORAL,0.5031026124151314,0.5031026124151314,322,0.4138747940114875,1,4,4,4,0,0,0,0,0,0,0,0.8923328305880001,0.9448448049611838,0.4616794696232922,age,I'm 25 years old,I'm 26 years old
synthetic_temporal_023,TEMPORAL,0.5031026124151314,0.5031026124151314,359,0.3739767520343444,1,4,4,4,0,0,0,0,0,0,0,0.7956920653760056,0.8146508171009577,0.43684660530243136,age,I'm 25 years old,I'm 26 years old
synthetic_temporal_035,TEMPORAL,0.5031026124151314,0.5031026124151314,399,0.3351588484946244,1,4,4,4,0,0,0,0,0,0,0,0.8160228740609402,0.8183057352267169,0.399035382022254,age,I'm 25 years old,I'm 26 years old
synthetic_conflict_020,CONFLICT,0.22028815056182974,0.22028815056182968,23,0.9389306115378647,2,4,3,4,1,1,0,1,0,0,0,0.5068777042230437,0.7318640804157565,0.7646949954000042,skill,I use Docker,I've never used Docker
synthetic_temporal_071,TEMPORAL,0.43161341897075145,0.43161341897075145,301,0.4383850986434665,1,5,5,5,0,0,0,0,1,1,0,0.8493783426530973,0.8467566614134117,0.40401360423556215,current_project,Currently working on user research,Currently working on feature development
synthetic_temporal_041,TEMPORAL,0.5031026124151314,0.5031026124151314,348,0.38541883321136555,1,4,4,4,0,0,0,0,0,0,0,0.8320065419014919,0.8277281683288291,0.4939169255529117,age,I'm 25 years old,I'm 26 years old
synthetic_revision_006,REVISION,0.5031026124151314,0.5031026124151314,133,0.694624712243468,1,4,4,4,0,0,0,0,0,0,0,0.8162699235041672,0.8909248412346285,0.6684482051282946,employer,I work at Google,I work at Meta
synthetic_refinement_067,REFINEMENT,0.5797386715376658,0.5797386715376658,28,0.9261562437967505,2,5,3,5,2,0,0,0,0,0,0,0.8896849968216628,0.9698436505530051,0.06327387530778793,hobby,I like reading,I like reading and writing
synthetic_revision_044,REVISION,0.6694188517266485,0.6694188517266485,86,0.7900836616098771,1,5,5,5,0,0,0,0,1,1,0,0.7293974293628718,0.7567840933365807,0.49759909922897927,job_title,My role is Data Analyst,My role is Data Scientist
synthetic_revision_013,REVISION,0.5031026124151314,0.5031026124151314,178,0.614054720864655,1,4,4,4,0,0,0,0,0,0,0,0.7583015934534223,0.7907023547660844,0.6486212527455788,location,I live in London,I live in Berlin
synthetic_revision_012,REVISION,0.5031026124151314,0.5031026124151314,129,0.7022789020190031,1,4,4,4,0,0,0,0,0,0,0,0.7535129990040383,0.7921401764531071,0.5628088249474745,location,I live in Tokyo,I live in Seoul
synthetic_refinement_030,REFINEMENT,0.5797386715376658,0.5797386715376658,5,0.9863947691297537,3,7,4,7,3,0,0,0,1,0,0,0.8211386337462144,0.9542856074980252,0.06118259655196563,skill,I work with PostgreSQL,"I work with PostgreSQL, Redis, and MongoDB"
synthetic_refinement_004,REFINEMENT,0.5797386715376658,0.5797386715376658,17,0.9544926440314748,2,7,4,7,3,0,0,0,1,0,0,0.9480330404900775,0.9503918200085655,0.07980735223012586,tool,I work with PostgreSQL,"I work with PostgreSQL, Redis, and MongoDB"
synthetic_temporal_008,TEMPORAL,0.5031026124151314,0.5031026124151314,309,0.4288811910001705,1,4,4,4,0,0,0,0,0,0,0,0.7508283175685404,0.922319214268225,0.4413714687695234,age,I'm 25 years old,I'm 26 years old
synthetic_temporal_019,TEMPORAL,0.5031026124151314,0.5031026124151314,377,0.35598143002962485,1,4,4,4,0,0,0,0,0,0,0,0.8593510752061482,0.9156905520028918,0.31480893034681806,age,I'm 28 years old,I'm 29 years old
synthetic_refinement_047,REFINEMENT,0.5797386715376658,0.5797386715376658,10,0.97297464056654,2,7,4,7,3,0,0,0,0,0,0,0.853769859281641,0.8650629777382668,0.17946551388133902,skill,I work with Python,"I work with Python, Docker, and Kubernetes"
synthetic_conflict_052,CONFLICT,0.22028815056182974,0.22028815056182968,20,0.9466796511855877,2,4,3,4,1,1,0,1,0,0,0,0.6246596253655116,0.6161796049705299,0.7158895875715059,skill,I use TypeScript,I've never used TypeScript
synthetic_conflict_048,CONFLICT,0.4112070550676187,0.4112070550676187,31,0.9185751983563217,1,5,4,5,1,1,0,1,1,1,0,0.5621964643431324,0.6150366644053494,0.8824015445845159,preference,I prefer pair programming,I don't like pair programming
synthetic_temporal_012,TEMPORAL,0.5031026124151314,0.5031026124151314,360,0.37295356046545525,1,4,4,4,0,0,0,0,0,0,0,0.845633620703282,0.9330819113864489,0.39444298503238984,age,I'm 28 years old,I'm 29 years old
synthetic_refinement_071,REFINEMENT,0.5797386715376658,0.5797386715376658,9,0.9756439794722424,2,7,4,7,3,0,0,0,0,0,0,0.8179391368907453,0.9427218223389894,0.16411775729253464,tool,I work with React,"I work with React, Vue, and Angular"
synthetic_refinement_039,REFINEMENT,0.5797386715376658,0.5797386715376658,17,0.9544926440314748,2,5,3,5,2,0,0,0,0,0,0,0.8841915796354244,0.9502257333940929,0.12406933945465863,skill,I like coffee,I like coffee and tea
synthetic_refinement_027,REFINEMENT,0.5797386715376658,0.5797386715376658,28,0.9261562437967505,2,5,3,5,2,0,0,0,0,0,0,0.8784099244072991,0.9055803323866114,0.05381286901161428,hobby,I like movies,I like movies and series
synthetic_temporal_043,TEMPORAL,0.5031026124151314,0.5031026124151314,350,0.3833127246238332,1,4,4,4,0,0,0,0,0,0,0,0.7661837140489957,0.8047143778530101,0.4272820822527561,age,I'm 25 years old,I'm 26 years old
