time_delta_days,semantic_similarity,confidence_old,confidence_new,trust_score,drift_score,confidence_delta,slot,is_factual_slot,is_preference_slot,has_correction_words,has_temporal_words,policy,id,category_CONFLICT,category_REFINEMENT,category_REVISION,category_TEMPORAL,slot_type_factual,slot_type_other,slot_type_preference,user_signal_strength_implicit,time_category_old,time_category_recent
71,0.5,0.8598566996144709,0.6087537643279334,0.8918280395373651,0.2511029352865375,-0.2511029352865375,location,1,0,0,0,OVERRIDE,synthetic_revision_030,False,False,True,False,True,False,False,True,True,False
10,0.16666666666666666,0.7687573295922798,0.6781237583520879,0.7075032265668001,0.09063357124019189,-0.09063357124019189,skill,0,0,0,0,ASK_USER,synthetic_conflict_023,True,False,False,False,False,True,False,True,True,False
8,0.6,0.8841178035410031,0.8368448205980189,0.7825087955107357,0.04727298294298421,-0.04727298294298421,preference,0,1,0,0,PRESERVE,synthetic_refinement_004,False,True,False,False,False,False,True,True,True,False
12,0.16666666666666666,0.9230448919262113,0.6304285914202956,0.7669632214446468,0.2926163005059157,-0.2926163005059157,skill,0,0,0,0,ASK_USER,synthetic_conflict_019,True,False,False,False,False,True,False,True,True,False
25,0.6,0.8054804549213176,0.6104290268033246,0.9209413642492037,0.19505142811799303,-0.19505142811799303,hobby,0,1,0,0,PRESERVE,synthetic_refinement_053,False,True,False,False,False,False,True,True,True,False
310,0.42857142857142855,0.7546594937009008,0.7768743508361768,0.9030098462268734,0.022214857135276045,0.022214857135276045,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_007,False,False,False,True,False,True,False,True,True,False
163,0.6666666666666666,0.7066339924209659,0.669593177740327,0.9676538703114537,0.03704081468063891,-0.03704081468063891,job_title,1,0,0,0,PRESERVE,synthetic_revision_028,False,False,True,False,True,False,False,True,True,False
51,0.16666666666666666,0.8624711094448807,0.7907295182111258,0.7260816497888248,0.0717415912337549,-0.0717415912337549,skill,0,0,0,0,ASK_USER,synthetic_conflict_037,True,False,False,False,False,True,False,True,True,False
9,0.6,0.7551101555101741,0.806242989356568,0.8265765459055812,0.05113283384639389,0.05113283384639389,hobby,0,1,0,0,PRESERVE,synthetic_refinement_074,False,True,False,False,False,False,True,True,True,False
40,0.5,0.9023576141694566,0.6022745658873213,0.708939165831421,0.3000830482821353,-0.3000830482821353,preference,0,1,0,0,ASK_USER,synthetic_conflict_045,True,False,False,False,False,False,True,True,True,False
387,0.42857142857142855,0.901454812958202,0.8443487882458793,0.765591392441081,0.05710602471232262,-0.05710602471232262,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_036,False,False,False,True,False,True,False,True,True,False
20,0.6,0.785062629129498,0.6544178249341235,0.8516065864310087,0.1306448041953745,-0.1306448041953745,skill,0,0,0,0,PRESERVE,synthetic_refinement_057,False,True,False,False,False,True,False,True,True,False
3,0.6,0.9393032680516953,0.7178080907894193,0.7079607909051591,0.22149517726227597,-0.22149517726227597,preference,0,1,0,0,PRESERVE,synthetic_refinement_043,False,True,False,False,False,False,True,True,False,True
106,0.6,0.7231864608450369,0.6338507318917124,0.7596512952059945,0.08933572895332453,-0.08933572895332453,location,1,0,0,0,OVERRIDE,synthetic_revision_029,False,False,True,False,True,False,False,True,True,False
3,0.375,0.9118735915868649,0.8113041109784118,0.8949653313338569,0.10056948060845305,-0.10056948060845305,skill,0,0,0,0,PRESERVE,synthetic_refinement_035,False,True,False,False,False,True,False,True,False,True
17,0.5,0.901782068318595,0.8554061253428362,0.863482444180965,0.046375942975758755,-0.046375942975758755,preference,0,1,0,0,ASK_USER,synthetic_conflict_016,True,False,False,False,False,False,True,True,True,False
41,0.8333333333333334,0.8340570228636751,0.9405905173927797,0.7661321866122089,0.10653349452910454,0.10653349452910454,job_title,1,0,0,0,OVERRIDE,synthetic_revision_026,False,False,True,False,True,False,False,True,True,False
130,0.6,0.7946335943020884,0.7932142209456294,0.8767797051627726,0.0014193733564589195,-0.0014193733564589195,location,1,0,0,0,PRESERVE,synthetic_revision_004,False,False,True,False,True,False,False,True,True,False
14,0.6,0.9073511660632487,0.8164819133274861,0.9428291370033479,0.09086925273576263,-0.09086925273576263,skill,0,0,0,0,PRESERVE,synthetic_refinement_068,False,True,False,False,False,True,False,True,True,False
28,0.375,0.9154267250776943,0.8020732508398667,0.7019496279034183,0.1133534742378276,-0.1133534742378276,tool,0,0,0,0,PRESERVE,synthetic_refinement_018,False,True,False,False,False,True,False,True,True,False
128,0.8333333333333334,0.8761429590537309,0.6160385342794817,0.9417457755498424,0.2601044247742491,-0.2601044247742491,job_title,1,0,0,0,OVERRIDE,synthetic_revision_038,False,False,True,False,True,False,False,True,True,False
329,0.6,0.7569745689128866,0.7012857872607374,0.9094418184964681,0.05568878165214919,-0.05568878165214919,age,1,0,0,0,OVERRIDE,synthetic_temporal_025,False,False,False,True,True,False,False,True,True,False
12,0.375,0.7199479942309068,0.6814768102263605,0.8020751549553975,0.0384711840045463,-0.0384711840045463,tool,0,0,0,0,PRESERVE,synthetic_refinement_011,False,True,False,False,False,True,False,True,True,False
18,0.6,0.7252503573524323,0.6972907610885322,0.7466438499435344,0.0279595962639001,-0.0279595962639001,skill,0,0,0,0,PRESERVE,synthetic_refinement_001,False,True,False,False,False,True,False,True,True,False
327,0.42857142857142855,0.8589211110661,0.7276912626395294,0.9871639216620344,0.1312298484265706,-0.1312298484265706,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_010,False,False,False,True,False,True,False,True,True,False
48,0.16666666666666666,0.7925452417792206,0.6733274607700207,0.800978363533788,0.11921778100919989,-0.11921778100919989,skill,0,0,0,0,ASK_USER,synthetic_conflict_052,True,False,False,False,False,True,False,True,True,False
19,0.5,0.7667444555122783,0.9278291056993728,0.7278237530140443,0.1610846501870945,0.1610846501870945,preference,0,1,0,0,ASK_USER,synthetic_conflict_013,True,False,False,False,False,False,True,True,True,False
396,0.6,0.8620088463116483,0.8131958519834458,0.7290149130500392,0.04881299432820252,-0.04881299432820252,age,1,0,0,0,OVERRIDE,synthetic_temporal_072,False,False,False,True,True,False,False,True,True,False
352,0.6,0.7427846620495242,0.8551943792826222,0.9542483099042379,0.112409717233098,0.112409717233098,age,1,0,0,0,OVERRIDE,synthetic_temporal_049,False,False,False,True,True,False,False,True,True,False
399,0.6,0.740850623440482,0.7328094046151767,0.8811178094100673,0.008041218825305285,-0.008041218825305285,age,1,0,0,0,OVERRIDE,synthetic_temporal_066,False,False,False,True,True,False,False,True,True,False
118,0.5714285714285714,0.9473808376591488,0.8239999159489324,0.942138481982314,0.12338092171021642,-0.12338092171021642,job_title,1,0,0,0,OVERRIDE,synthetic_revision_017,False,False,True,False,True,False,False,True,True,False
42,0.16666666666666666,0.8392374359436615,0.839614987846456,0.9189195360081454,0.0003775519027945373,0.0003775519027945373,skill,0,0,0,0,ASK_USER,synthetic_conflict_057,True,False,False,False,False,True,False,True,True,False
21,0.6,0.9107129800474524,0.8715999690411856,0.8608684274364102,0.03911301100626674,-0.03911301100626674,skill,0,0,0,0,PRESERVE,synthetic_refinement_052,False,True,False,False,False,True,False,True,True,False
167,0.6,0.7572620179910261,0.6112350853664132,0.9919347291938112,0.14602693262461286,-0.14602693262461286,location,1,0,0,0,OVERRIDE,synthetic_revision_023,False,False,True,False,True,False,False,True,True,False
45,0.16666666666666666,0.7788632620147704,0.6937093065914959,0.813560313162506,0.08515395542327453,-0.08515395542327453,skill,0,0,0,0,ASK_USER,synthetic_conflict_002,True,False,False,False,False,True,False,True,True,False
307,0.42857142857142855,0.7527457108965816,0.930018400017269,0.865612189381968,0.1772726891206874,0.1772726891206874,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_020,False,False,False,True,False,True,False,True,True,False
365,0.42857142857142855,0.9190919066181672,0.7101372582794673,0.9488213992758985,0.20895464833869992,-0.20895464833869992,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_067,False,False,False,True,False,True,False,True,True,False
