Model,Category,Precision,Recall,F1,Support
Logistic Regression,REFINEMENT,1.0,1.0,1.0,40
Logistic Regression,REVISION,1.0,1.0,1.0,60
Logistic Regression,TEMPORAL,1.0,1.0,1.0,36
Logistic Regression,CONFLICT,1.0,1.0,1.0,46
Random Forest,REFINEMENT,1.0,1.0,1.0,40
Random Forest,REVISION,1.0,1.0,1.0,60
Random Forest,TEMPORAL,1.0,1.0,1.0,36
Random Forest,CONFLICT,1.0,1.0,1.0,46
XGBoost,REFINEMENT,1.0,1.0,1.0,40
XGBoost,REVISION,1.0,1.0,1.0,60
XGBoost,TEMPORAL,1.0,1.0,1.0,36
XGBoost,CONFLICT,1.0,1.0,1.0,46
BERT,REFINEMENT,1.0,0.975,0.9873417721518988,40
BERT,REVISION,1.0,0.9833333333333333,0.9915966386554622,60
BERT,TEMPORAL,0.9473684210526315,1.0,0.972972972972973,36
BERT,CONFLICT,0.9782608695652174,0.9782608695652174,0.9782608695652174,46
